Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]",Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]",Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]",Surface area (sq. km) [AG.SRF.TOTL.K2],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],Time required to start a business (days) [IC.REG.DURS],Urban population growth (annual %) [SP.URB.GROW]
2016,YR2016,"Korea, Rep.",KOR,1.4564,169.6303772,42.28420147,1.172,12104300000,1.41E+12,2.929304795,27690,37240,1.42E+12,1.91E+12,29.25238734,30.52458969,98,35.42863077,35.12979767,1.977968551,82.27560976,63.72747737,2.607881295,120.2263275,3.4,59.61287457,0,6523600000,525.6562786,0.396851823,51217803,0,27.31025019,97.71842,0.99482,100.48505,100339.0039,14.82501283,3.885269528,8,0.308612806
2016,YR2016,Mexico,MEX,61.486,40.5804173,37.06297093,2.186,36391491136,1.08E+12,2.910546459,9400,18290,1.16E+12,2.26E+12,23.76881287,20.773093,96,39.03730539,29.49585704,5.377774167,74.917,71.57068471,0.559230191,90.59237542,14.1,87.87416956,809299987.8,28690957406,63.44472646,1.203251329,123333376,0.2,19.80277237,106.27773,1.03638,102.40406,1964375,13.54173126,6.75214757,8.4,1.57086664
2016,YR2016,Netherlands,NLD,3.92,207.1748334,79.53516476,1.66,2.42E+11,7.84E+11,2.191713719,46900,50580,7.99E+11,8.61E+11,20.48756453,23.90129023,94,69.32349997,17.6375087,0.454667289,81.56097561,136.7408378,1.163626918,123.0177086,4,95.19053786,0,2159875374,505.500564,0.53217888,17030314,0.2,38.88784576,103.28676,1.0097,132.69165,41540,21.90511014,17.89245815,3.5,1.043217191
2016,YR2016,Russian Federation,RUS,21.8432,58.84320963,25.73714444,1.762,32538900000,1.28E+12,0.329280658,9750,23410,1.43E+12,3.43E+12,23.53425247,10.11512664,98,20.56520797,29.46169591,3.174226097,71.65121951,36.89048025,5.45240651,157.718498,8,127.3562351,0,6688670000,8.813796287,0.170244546,144342396,0,24.21165686,99.81439,0.99186,102.3967,17098250,9.140619348,7.611176526,10.1,0.324076821
2016,YR2016,Saudi Arabia,SAU,7.9412,34.05945376,31.14420939,2.435,7452533333,6.45E+11,1.670624757,21610,55480,7.01E+11,1.80E+12,30.9326037,3.704604264,98,30.71783263,43.15746191,-3.046414212,74.761,50.19866005,9.87273833,147.7417643,8,82.08546633,0,307521866.7,15.09174439,2.259766669,32442572,0,21.47807285,105.12706,0.95616,112.33912,2149690,3.389982246,4.040946038,19.3,2.525103013
2016,YR2016,Spain,ESP,7.9744,188.2385262,33.8800905,1.34,44253339408,1.23E+12,3.03130133,27530,36650,1.28E+12,1.70E+12,18.75332184,7.451264474,97,29.89253394,20.00852905,0.322898794,83.32926829,48.77150367,1.132741836,110.480234,3.2,93.39991963,0,2632183875,93.04827901,0.08443015,46484062,0.4,15.83997702,104.21417,1.01023,126.19046,505935,13.9164512,15.19563264,13,0.382971719
2016,YR2016,Switzerland,CHE,2.911,179.0237646,65.74428268,1.54,72394830220,6.71E+11,1.722649108,82110,64680,6.88E+11,5.42E+11,23.09970951,27.57731151,94,54.2279949,25.00166288,-0.604717781,83.60243902,85.34327837,0.682321328,134.1553264,4.3,110.1753518,0,2524093963,211.8974034,1.092031174,8373338,0,17.66190959,104.62911,0.97613,102.56538,41290.40039,9.730908116,9.650516379,10,1.120513599
2016,YR2016,Turkey,TUR,27.4958,77.62793063,21.96508273,2.092,13950000000,8.64E+11,3.183831547,11180,25870,8.93E+11,2.07E+12,28.22663944,2.513355128,98,24.85056382,28.18329625,8.098262225,76.86,39.49744698,2.067542609,94.02943867,11.9,103.3295957,3609090088,1186000000,103.7144134,1.632250641,79821724,0,31.21272099,100.94765,0.98184,102.74053,785350,18.32477429,0.190624823,10,2.340230847
2016,YR2016,United Kingdom,GBR,14.3918,163.1140694,28.4392369,1.79,3.25E+11,2.69E+12,1.918155106,42990,42500,2.82E+12,2.79E+12,17.40073436,23.98313597,92,30.05904848,17.58114217,2.140283041,81.15609756,38.81117606,1.810780168,119.0555562,4.4,98.3651441,0,4582283767,271.134481,0.757874493,65611593,0,34.67433133,101.33521,0,0,243610,25.14579206,22.26206452,4.5,1.072051621
2016,YR2016,United States,USA,21.4754,106.327043,11.8703515,1.8205,4.94E+11,1.87E+13,1.56721517,57160,58950,1.85E+13,1.90E+13,20.38756948,23.01332375,92,14.64364909,17.95490244,1.093525424,78.53902439,19.784721,3.207892169,122.5945483,6.7,100.0834725,0,6330000000,35.31830199,0.716669413,322941311,0.4,18.65915313,101.36286,0.99626,98.76993,9831510,10.90191682,26.32619972,5.6,0.950261502
2016,YR2016,Afghanistan,AFG,75.325,-1.186977849,5.933360842,4.8,93591315.3,19362642267,2.260314205,570,1910,20007171971,67454810885,17.80878963,0,64,41.72569458,21.82322278,5.102712888,63.763,36.8234867,0.955493294,61.05463771,67.5,163.4791706,4069419922,627710802.4,54.19711424,2.778317409,35383128,0.1,11.79741887,102.48647,0.64567,51.65594,652860,8.842616158,0.10470704,8.5,3.649410221
2016,YR2016,Albania,ALB,19.8596,61.49794558,28.97789662,1.659,1044389555,11861353752,3.314804753,4320,12060,12421351410,34689883484,25.22382372,0.784246829,96,45.8319596,21.14194311,-0.632442184,78.194,55.90424279,1.101507597,116.7444442,9.3,93.42326869,171039993.3,1306009167,104.9671898,-0.159880412,2876101,0,24.27857161,105.55386,0.99355,95.715,28750,17.59022826,13.14774946,5,1.54401448
2016,YR2016,Algeria,DZA,10.368,54.4161136,20.87241999,3.052,1638263954,1.60E+11,3.2,4370,14890,1.77E+11,6.04E+11,50.77792686,0.349782374,94,35.0532416,34.70096206,1.548620374,76.298,48.18695742,6.381112805,116.0042077,24.5,155.401744,144550003.1,1989023597,17.02595749,2.051354584,40551404,0.1,0,113.8302,0,0,2381740,0,7.10549986,18,2.910068025
2016,YR2016,American Samoa,ASM,0,0,65.49079755,0,0,652000000,-2.769230769,0,0,0,0,0,0,0,97.39263804,0,1.447748904,0,163.0368098,0,0,0,173.2203771,0,0,278.705,-0.12729377,55741,0,0,0,0,0,200,0,8.708521753,0,-0.172672561
2016,YR2016,Andorra,AND,0,0,0,0,0,2877311947,1.889124387,0,0,0,0,0,24.31814395,97,0,9.844718945,0.699897362,0,0,0,98.49282637,3.1,0,0,0,164.4617021,-0.919469738,77297,0,0,0,0,0,470,0,21.19093028,0,-1.029673946
2016,YR2016,Angola,AGO,153.9008,27.33495133,28.12448456,5.686,-179517618.9,1.01E+11,-2.58009724,3770,6410,1.09E+11,1.85E+11,27.21470844,0,45,25.24567072,42.64356678,21.77429951,59.925,40.17845401,2.733340725,45.07629005,84,109.7405127,206529998.8,3988048.38,23.13506377,3.37827278,28842484,1.9,15.72076897,0,0,50.67148,1246700,9.732512234,5.004713342,36,4.480209744
2016,YR2016,Antigua and Barbuda,ATG,43.6256,63.54559939,42.38446109,2.003,97431976.47,1436585185,5.497788456,13460,21880,1272589709,2068381416,0,0.026055572,88,47.80097092,17.93837237,1.872387958,76.617,36.75382466,0,190.4217843,7,62.94857756,59999.99866,26705675.65,214.8340909,1.021843835,94527,0,0,0,0,0,440,0,0.271690244,22,0.401041538
2016,YR2016,Armenia,ARM,22.1604,54.33184283,33.14800495,1.744,333733314.1,10546135160,0.2,3760,9010,11045765176,26464459903,18.01550867,6.136138106,97,42.76987508,25.57713304,0.268575077,74.64,48.0270727,4.083057446,116.9754675,13.7,123.3880546,326429992.7,1382330887,103.1312259,0.361431439,2936146,0.2,22.83472889,94.5179,0,0,29740,21.27737528,23.10900308,5,0.356702332
2016,YR2016,Aruba,ABW,23.8416,69.81051076,69.83959477,1.872,20982174.3,2646927374,-0.211225106,23550,36430,2469661606,3820427670,22.01350781,4.045859909,0,74.63064584,0,-1.452282496,75.868,56.97727163,0,0,0,93.67984745,0,52682566.15,582.6222222,0.50761773,104872,0,0,0,0,0,180,0,0.527983105,0,0.702301419
2016,YR2016,Austria,AUT,7.5648,128.3656234,52.45109491,1.53,-28939340169,3.95E+11,2.082608428,46220,51810,4.04E+11,4.53E+11,24.18846352,14.51024155,95,48.61759054,25.41738699,1.667629328,81.64146341,78.38190806,0.732544817,126.6614696,3.6,88.63624507,0,2887576591,105.8694934,1.081396299,8736668,0,43.5788263,102.26436,0.97199,100.96302,83879.00391,25.44072314,28.44398259,21,1.4100618
2016,YR2016,Azerbaijan,AZE,54.5184,44.50357933,46.42764939,1.9,4499666000,37867518957,-3.064200035,4760,16280,46471706150,1.59E+11,25.68150374,2.71506513,98,43.64966934,47.5579725,14.62883959,72.493,57.0330473,3.715428329,104.6523726,24.5,99.90544513,79430000.31,643148000,118.033289,1.11785721,9757812,0,34.91986787,106.43174,0,0,86600,14.55551657,5.518745809,3.5,1.677401514
2016,YR2016,"Bahamas, The",BHS,30.5602,90.50744992,35.27440863,1.771,390400036.4,11938400000,0.446254968,28910,29730,10924579932,11234372257,24.51668565,0,89,37.1490317,13.39878041,1.1322123,73.329,26.07552101,0,95.30865504,10.9,78.28444512,0,0,37.75534466,0.990519136,377931,1.9,16.14753225,81.46426,1.01076,73.40247,13880,14.0407006,1.240258124,21.5,1.094620108
2016,YR2016,Bahrain,BHR,13.493,0,73.74289237,2.033,243351063.8,32250132979,3.473516575,21610,44590,30812057246,63571909739,29.76039188,1.051005676,99,65.38897662,39.37432222,0.133799316,76.899,68.07413791,4.725706167,210.0492218,7.4,116.9170972,0,0,1832.636175,3.856582461,1425791,0,0,101.09313,1.01494,103.85384,778.0000305,0,1.694772648,8.3,3.958735762
2016,YR2016,Bangladesh,BGD,84.0906,61.44300196,16.64971496,2.09,2332724781,2.21E+11,7.113489474,1370,3910,2.16E+11,6.18E+11,29.65256533,0,97,21.30458139,27.3461176,6.72784119,71.785,36.00746666,1.379672324,86.07690632,33.9,68.95699785,2532669922,13574285886,1213.573327,1.091300482,157970840,0.1,10.20957272,0,0,71.41584,147630,8.765027652,4.88867648,19.5,3.325113119
2016,YR2016,Barbados,BRB,35.3818,131.1422032,43.03878215,1.613,229642052,4840500000,2.279013165,14880,16010,4251420881,4575863406,16.01869125,0,92,42.04337982,0,0.151147082,78.888,44.18964983,0,116.2395555,12.9,124.055567,0,108310000,664.6418605,0.165289294,285796,1.5,0,97.28297,1.02221,106.5098,430,0,0.009166204,16,-0.014581429
2016,YR2016,Belarus,BLR,15.8802,42.59311797,62.50934712,1.733,1246900000,47722657821,-2.526446436,5620,17270,53436206405,1.64E+11,26.4775827,4.850059879,98,62.69997578,30.95840925,8.34191705,73.82682927,107.175506,1.264152334,121.112623,3.8,92.99906636,-22309999.47,976600000,46.8083514,0.12551111,9501534,0.4,28.94264796,101.07704,0.99101,104.79592,207600,13.78823561,9.511258367,9,0.745489102
2016,YR2016,Belgium,BEL,4.9266,150.9424054,79.37668357,1.68,57538351507,4.76E+11,1.511106034,43440,48310,4.92E+11,5.47E+11,24.19322721,13.04944363,96,78.18327443,19.31693528,1.743246189,81.43902439,163.3407917,0.918616598,110.5368746,3.9,96.67583497,0,10786360682,374.2213342,0.506300002,11331422,0,38.00769148,103.31777,1.06966,161.03316,30530,22.76076911,24.57816225,4.5,0.550223217
2016,YR2016,Belize,BLZ,69.3254,71.96505666,52.60247757,2.391,32733410.99,1775100179,-0.58802365,4330,7740,1594062911,2850890984,21.42359227,0,95,61.61170563,14.07423213,3.585978484,74.219,78.64344879,1.247544457,60.51248643,14.5,103.6903568,34959999.08,96671006.68,16.15081105,2.047695884,368400,1.9,28.26535073,114.48416,0.97797,87.0061,22970,26.04564802,20.59179198,43,2.243909177
2016,YR2016,Benin,BEN,88.1498,26.41186931,24.82783287,4.977,131701389.4,8578984066,3.96485991,820,2160,8898722265,23485800655,24.58796637,2.830054462,68,36.26282378,20.13131496,-0.279995286,60.885,54.15559656,0.928169433,81.7921125,97.6,124.9920368,500720001.2,221726215,96.41776339,2.761409493,10872067,1.1,0,130.90229,0.87708,59.04252,114760,0,28.87194497,8.5,3.923260328
2016,YR2016,Bermuda,BMU,0,0,0,1.61,-73213793.63,0,0,0,0,0,0,0,48.813978,0,0,0,0,81.22707317,0,0,100.8348853,0,105.9502848,0,1445943330,1195.462942,-1.048452613,64555,0,0,0,0,0,4290,0,0.033870824,0,-1.053987599
2016,YR2016,Bhutan,BTN,21.745,54.822735,29.61697452,2.014,11884162.35,2158972128,8.127033384,2650,8590,1949050273,6324888682,57.00622507,0,97,55.78807887,42.55111128,4.383411412,70.781,70.72810158,0,94.79644581,32,112.6695027,51599998.47,34343456.66,19.31388997,1.206226624,736709,0.3,18.70585769,102.66068,1.04809,85.34537,38393.99902,12.84326226,48.00731216,15,3.126839096
2016,YR2016,Bolivia,BOL,66.4978,65.97314763,24.48800571,2.829,335365530.4,33941126194,4.263919504,3040,7020,33490607531,77411130760,21.05736237,4.456997569,94,31.91302926,25.32635872,-1.354869337,70.626,45.84703498,1.634420874,91.60973889,29.3,92.22663661,696450012.2,1246634759,10.18352534,1.480132784,11031813,0.3,0,96.55513,0.9822,91.4264,1098580,0,30.86551546,45,1.983313265
2016,YR2016,Bosnia and Herzegovina,BIH,10.125,56.72074193,35.64628152,1.286,313198153.4,16913330694,3.145651329,5130,12840,17381745611,43483587546,19.62231386,2.68674262,68,52.29929248,23.16355152,1.411051855,76.998,85.53607957,0.934024675,100.5249735,6,103.6614811,446119995.1,1845995097,66.13802734,-1.264581174,3386267,0.1,38.14102455,0,0,0,51210,19.95149151,1.452410142,80,-0.53588524
2016,YR2016,Botswana,BWA,46.4788,16.06124106,49.75677877,2.942,122162734.7,15646316818,4.303737457,6880,16650,14857119271,35957995379,28.5703349,0.42086509,97,43.16794491,32.0947068,11.95320436,68.178,86.29506968,3.304741643,152.2730166,39.4,91.23462984,90569999.69,24622510.26,3.81123992,1.832852792,2159944,21.2,33.52103281,0,0,0,581730,20.85072312,29.14329184,48,2.984711864
2016,YR2016,British Virgin Islands,VGB,0,0,0,0,49737748000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.2035428,0,55.35770323,0,0,195.7,0.693936844,29355,0,0,122.23864,1.00269,92.32864,150,0,0.074344744,0,1.49103771
2016,YR2016,Brunei Darussalam,BRN,11.1058,37.33957111,49.57690627,1.915,-150550827.3,11400854268,-2.465514923,33160,83860,13919756212,35202474519,34.61965456,13.80403738,98,37.74136081,57.28835725,-9.17941212,75.45,66.25819279,3.539384699,124.6910434,11.1,115.4014377,0,0,79.65844402,1.172400865,419800,0,0,107.12282,1.0142,94.05418,5770,0,8.989232504,14.5,1.598077934
2016,YR2016,Bulgaria,BGR,40.6392,54.33630086,64.72580474,1.54,1476500000,53240950226,3.936758149,7580,19450,54057948019,1.39E+11,19.20811643,8.871864106,92,59.72251142,24.426644,2.24609969,74.81219512,104.2524594,1.419313685,125.4743844,7.7,112.766703,0,1665570000,65.65790346,-0.701382098,7127822,0.1,32.3665452,91.08322,0.97623,99.67708,111000,20.04102943,28.28713195,23,-0.244263619
2016,YR2016,Burkina Faso,BFA,106.5448,32.02584836,29.95182091,5.353,390357184.8,10867024152,5.906024993,600,1710,11109220713,31927380886,22.88373154,6.019716212,88,36.47388758,19.53629555,-1.259733579,60.354,53.86939348,1.23336594,82.61152567,83,145.5622309,1029479980,397373892.5,68.15196637,2.915319071,18646378,0.8,19.09148423,91.11084,0.97131,35.78715,274220,16.68623343,15.08481978,13,5.085564078
2016,YR2016,Burundi,BDI,56.61,35.68289076,6.65258895,5.599,55420.35666,2959640987,-0.600020001,270,740,2800630927,7799828964,9.190553677,3.195982557,93,25.09163483,12.20736309,0.96047019,60.528,25.03682045,2.115625208,51.08522649,63.8,155.7256984,742640014.6,31276058.24,408.4111371,3.177016087,10487998,1.2,0,128.04206,1.01382,47.47817,27830,0,7.592545634,4,5.711300416
2016,YR2016,Cabo Verde,CPV,74.7374,83.7137394,44.229689,2.346,126312006.1,1663008687,4.705791509,3130,6470,1662603658,3436508269,35.2566224,0,93,59.96217272,17.13039914,-0.231686837,72.347,43.65581525,0.620817347,113.331551,20.8,112.4009195,115239997.9,211373829.2,131.7980149,1.212831744,531146,0.6,31.11348391,103.90747,1.01014,93.68711,4030,18.60381766,2.603036876,18,1.962769244
2016,YR2016,Cambodia,KHM,49.9048,71.06424218,61.28152493,2.559,2475915854,20159271965,7.030966776,1140,3510,17963176528,55390903970,22.70583248,1.858670829,84,65.66850405,29.45196275,3.38084594,68.977,119.8952028,1.898582977,126.3169742,30.5,76.63844553,728409973.1,1199734452,89.31731815,1.565227051,15766293,0.6,17.36610756,110.18765,0,0,181040,14.82589055,20.64927728,99,3.325378074
2016,YR2016,Cameroon,CMR,108.8318,18.3797197,19.23934954,4.708,663789440.7,32621535419,4.648481551,1380,3490,33094042933,83404598307,22.60815004,4.342571297,78,23.96516838,24.45973443,1.094639616,58.063,26.09012694,1.321468676,78.22900593,82.3,138.9765948,756609985.4,268900661.3,50.61568192,2.660494609,23926539,3.8,15.03863718,116.1173,0.88564,60.05816,475440,12.06988655,10.3820773,16.5,3.755654705
2016,YR2016,Canada,CAN,9.0084,0,31.52917447,1.5433,34201872161,1.53E+12,1.107099385,43880,44500,1.58E+12,1.61E+12,22.78034058,14.46681227,89,33.88970582,0,0.797481083,81.9,52.611521,1.15845888,84.5231216,5.2,104.9811416,0,1289324860,3.970907493,1.132348655,36109487,0,17.74437896,101.02387,1.00818,112.51428,9984670,12.45503562,6.477119482,1.5,1.182792155
2016,YR2016,Cayman Islands,CYM,0,0,0,0,2684234739,4898908676,3.096282182,45730,42040,2861376282,2630577889,0,0,0,0,7.297272913,0.922691454,0,21.92325007,0,152.8808196,0,62.81741349,0,13507646.33,260.7041667,1.359711357,62569,0,0,0,0,0,260,0,0.103424002,0,1.359711357
2016,YR2016,Central African Republic,CAF,130.9522,29.32624205,14.82187966,4.87,7251164.853,1823779165,4.750316841,410,790,1868496482,3587703351,22.46346795,13.33086965,49,35.70876436,21.63823744,2.980114084,51.593,28.45739275,1.528332632,27.51062987,123.9,77.94116006,506609985.4,0,7.283840573,0.985894486,4537687,3.9,7.508513625,102.0189,0.76095,15.03944,622980,7.015562614,18.06480639,22,1.828988094
2016,YR2016,Chad,TCD,164.516,24.82700535,26.29503676,5.947,244516024.1,10090922857,-6.255527085,730,1980,10668020409,28769852476,24.39179479,0,37,37.00188837,13.65922911,-1.400839279,53.438,42.61255448,3.068475119,38.35901264,126.6,113.533841,624460022,0,11.56422014,3.143959589,14561666,1.4,0,86.84687,0.69908,22.5566,1284000,0,20.35444537,60,3.860904416
2016,YR2016,Channel Islands,CHI,7.2438,0,0,1.527,0,0,0,0,0,0,0,0,0,0,0,0,0,82.6,0,0,0,0,0,0,0,843.045487,0.9256539,166923,0,0,0,0,0,197.9999924,0,0,0,0.820728867
